symbol,record_date,ex_date,cash_payment_date,cash_dividend_per_old_share,share_ratio,fractional_share_treatment,event_id,source_url,source_sha256
SH515220,2023-12-28,2023-12-28,2023-12-28,0.05000000000000002,1.0,not_applicable_no_share_change,SH515220~2023-12-28,https://finance.sina.com.cn/realstock/company/sh515220/hfq.js,395165aefbe1ca5269e0b1d5007a569a49208e020f309a6a15c444c4c2f0c56d
SH515220,2024-04-12,2024-04-12,2024-04-12,0.0,2.0,unknown_not_provided_by_sina_hfq,SH515220~2024-04-12,https://finance.sina.com.cn/realstock/company/sh515220/hfq.js,395165aefbe1ca5269e0b1d5007a569a49208e020f309a6a15c444c4c2f0c56d
SH515220,2024-12-24,2024-12-24,2024-12-24,0.022499999999999992,1.0,not_applicable_no_share_change,SH515220~2024-12-24,https://finance.sina.com.cn/realstock/company/sh515220/hfq.js,395165aefbe1ca5269e0b1d5007a569a49208e020f309a6a15c444c4c2f0c56d
SH515220,2025-12-24,2025-12-24,2025-12-24,0.020000000000000004,1.0,not_applicable_no_share_change,SH515220~2025-12-24,https://finance.sina.com.cn/realstock/company/sh515220/hfq.js,395165aefbe1ca5269e0b1d5007a569a49208e020f309a6a15c444c4c2f0c56d
SH515260,2025-09-15,2025-09-15,2025-09-15,0.0,2.0,unknown_not_provided_by_sina_hfq,SH515260~2025-09-15,https://finance.sina.com.cn/realstock/company/sh515260/hfq.js,e2f6eeb89ddd8a2f3dcb705372e7d042e155ea3756b7929a339f1a0b7905ba9f
SH515300,2023-12-19,2023-12-19,2023-12-19,0.0661,1.0,not_applicable_no_share_change,SH515300~2023-12-19,https://finance.sina.com.cn/realstock/company/sh515300/hfq.js,7324f14b85355498326b0857d4e0f12b4bf42a5ccb124fb28f13b90a1136fc62
SH515300,2024-06-21,2024-06-21,2024-06-21,0.0714,1.0,not_applicable_no_share_change,SH515300~2024-06-21,https://finance.sina.com.cn/realstock/company/sh515300/hfq.js,7324f14b85355498326b0857d4e0f12b4bf42a5ccb124fb28f13b90a1136fc62
SH515300,2024-09-20,2024-09-20,2024-09-20,0.06539999999999999,1.0,not_applicable_no_share_change,SH515300~2024-09-20,https://finance.sina.com.cn/realstock/company/sh515300/hfq.js,7324f14b85355498326b0857d4e0f12b4bf42a5ccb124fb28f13b90a1136fc62
SH515300,2024-12-03,2024-12-03,2024-12-03,0.06339999999999998,1.0,not_applicable_no_share_change,SH515300~2024-12-03,https://finance.sina.com.cn/realstock/company/sh515300/hfq.js,7324f14b85355498326b0857d4e0f12b4bf42a5ccb124fb28f13b90a1136fc62
SH515300,2025-06-17,2025-06-17,2025-06-17,0.0237,1.0,not_applicable_no_share_change,SH515300~2025-06-17,https://finance.sina.com.cn/realstock/company/sh515300/hfq.js,7324f14b85355498326b0857d4e0f12b4bf42a5ccb124fb28f13b90a1136fc62
SH515300,2025-09-18,2025-09-18,2025-09-18,0.023300000000000043,1.0,not_applicable_no_share_change,SH515300~2025-09-18,https://finance.sina.com.cn/realstock/company/sh515300/hfq.js,7324f14b85355498326b0857d4e0f12b4bf42a5ccb124fb28f13b90a1136fc62
SH515300,2025-12-15,2025-12-15,2025-12-15,0.022799999999999987,1.0,not_applicable_no_share_change,SH515300~2025-12-15,https://finance.sina.com.cn/realstock/company/sh515300/hfq.js,7324f14b85355498326b0857d4e0f12b4bf42a5ccb124fb28f13b90a1136fc62
SH515450,2021-11-15,2021-11-15,2021-11-15,0.06,1.0,not_applicable_no_share_change,SH515450~2021-11-15,https://finance.sina.com.cn/realstock/company/sh515450/hfq.js,4e8ee3e8a26608389c40f53c95d9379a93ace11a281f321238ac01344ab848fd
SH515450,2022-12-12,2022-12-12,2022-12-12,0.05,1.0,not_applicable_no_share_change,SH515450~2022-12-12,https://finance.sina.com.cn/realstock/company/sh515450/hfq.js,4e8ee3e8a26608389c40f53c95d9379a93ace11a281f321238ac01344ab848fd
SH515450,2023-12-18,2023-12-18,2023-12-18,0.14,1.0,not_applicable_no_share_change,SH515450~2023-12-18,https://finance.sina.com.cn/realstock/company/sh515450/hfq.js,4e8ee3e8a26608389c40f53c95d9379a93ace11a281f321238ac01344ab848fd
