symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SH513700,513700,,,,,,,,,,,,,
SH513720,513720,,,,,,,,,,,,,
SH513750,513750,,,,,,,,,,,,,
SH513770,513770,,,,,,,,,,,,,
SH513780,513780,,,,,,,,,,,,,
SH513820,513820,,,,,,,,,,,,,
SH513830,513830,,,,,,,,,,,,,
SH513860,513860,,,,,,,,,,,,,
SH513900,513900,,,,,,,,,,,,,
SH513910,513910,,,,,,,,,,,,,
SH513920,513920,,,,,,,,,,,,,
SH513930,513930,,,,,,,,,,,,,
SH513980,513980,,,,,,,,,,,,,
SH513990,513990,,,,,,,,,,,,,
SH515000,515000,,,,,,,,,,,,,
SH515010,515010,,,,,,,,,,,,,
SH515020,515020,,,,,,,,,,,,,
SH515030,515030,,,,,,,,,,,,,
SH515040,515040,,,,,,,,,,,,,
SH515050,515050,,,,,,,,,,,,,
SH515060,515060,,,,,,,,,,,,,
SH515070,515070,,,,,,,,,,,,,
SH515080,515080,,,,,,,,,,,,,
SH515090,515090,,,,,,,,,,,,,
SH515100,515100,,,,,,,,,,,,,
SH515110,515110,,,,,,,,,,,,,
SH515120,515120,,,,,,,,,,,,,
SH515130,515130,,,,,,,,,,,,,
SH515150,515150,,,,,,,,,,,,,
SH515160,515160,,,,,,,,,,,,,
SH515170,515170,,,,,,,,,,,,,
SH515180,515180,,,,,,,,,,,,,
SH515190,515190,,,,,,,,,,,,,
SH515200,515200,,,,,,,,,,,,,
SH515210,515210,,,,,,,,,,,,,
SH515220,515220,,,,,,,,,,,,,
SH515230,515230,,,,,,,,,,,,,
SH515250,515250,,,,,,,,,,,,,
SH515260,515260,,,,,,,,,,,,,
SH515290,515290,,,,,,,,,,,,,
SH515300,515300,,,,,,,,,,,,,
SH515310,515310,,,,,,,,,,,,,
SH515320,515320,,,,,,,,,,,,,
SH515330,515330,,,,,,,,,,,,,
SH515350,515350,,,,,,,,,,,,,
SH515360,515360,,,,,,,,,,,,,
SH515370,515370,,,,,,,,,,,,,
SH515380,515380,,,,,,,,,,,,,
SH515390,515390,,,,,,,,,,,,,
SH515400,515400,,,,,,,,,,,,,
SH515450,515450,,,,,,,,,,,,,
SH515460,515460,,,,,,,,,,,,,
SH515480,515480,,,,,,,,,,,,,
SH515530,515530,,,,,,,,,,,,,
SH515550,515550,,,,,,,,,,,,,
SH515560,515560,,,,,,,,,,,,,
SH515580,515580,,,,,,,,,,,,,
SH515590,515590,,,,,,,,,,,,,
SH515600,515600,,,,,,,,,,,,,
SH515630,515630,,,,,,,,,,,,,
SH515640,515640,,,,,,,,,,,,,
SH515650,515650,,,,,,,,,,,,,
SH515660,515660,,,,,,,,,,,,,
SH515680,515680,,,,,,,,,,,,,
SH515700,515700,,,,,,,,,,,,,
SH515710,515710,,,,,,,,,,,,,
SH515720,515720,,,,,,,,,,,,,
SH515730,515730,,,,,,,,,,,,,
SH515750,515750,,,,,,,,,,,,,
SH515760,515760,,,,,,,,,,,,,
SH515770,515770,,,,,,,,,,,,,
SH515790,515790,,,,,,,,,,,,,
SH515800,515800,,,,,,,,,,,,,
SH515810,515810,,,,,,,,,,,,,
SH515840,515840,,,,,,,,,,,,,
SH515850,515850,,,,,,,,,,,,,
SH515860,515860,,,,,,,,,,,,,
SH515880,515880,,,,,,,,,,,,,
SH515890,515890,,,,,,,,,,,,,
SH515900,515900,,,,,,,,,,,,,
SH515910,515910,,,,,,,,,,,,,
SH515920,515920,,,,,,,,,,,,,
SH515950,515950,,,,,,,,,,,,,
SH515960,515960,,,,,,,,,,,,,
SH515970,515970,,,,,,,,,,,,,
SH515980,515980,,,,,,,,,,,,,
SH515990,515990,,,,,,,,,,,,,
SH516000,516000,,,,,,,,,,,,,
SH516010,516010,,,,,,,,,,,,,
SH516020,516020,,,,,,,,,,,,,
SH516050,516050,,,,,,,,,,,,,
SH516060,516060,,,,,,,,,,,,,
SH516070,516070,,,,,,,,,,,,,
SH516080,516080,,,,,,,,,,,,,
SH516090,516090,,,,,,,,,,,,,
SH516100,516100,,,,,,,,,,,,,
SH516110,516110,,,,,,,,,,,,,
SH516120,516120,,,,,,,,,,,,,
SH516130,516130,,,,,,,,,,,,,
SH516150,516150,,,,,,,,,,,,,
SH516160,516160,,,,,,,,,,,,,
SH516180,516180,,,,,,,,,,,,,
SH516190,516190,,,,,,,,,,,,,
SH516200,516200,,,,,,,,,,,,,
SH516210,516210,,,,,,,,,,,,,
SH516220,516220,,,,,,,,,,,,,
SH516230,516230,,,,,,,,,,,,,
SH516250,516250,,,,,,,,,,,,,
SH516260,516260,,,,,,,,,,,,,
SH516270,516270,,,,,,,,,,,,,
SH516290,516290,,,,,,,,,,,,,
SH516300,516300,,,,,,,,,,,,,
SH516310,516310,,,,,,,,,,,,,
SH516320,516320,,,,,,,,,,,,,
SH516330,516330,,,,,,,,,,,,,
SH516350,516350,,,,,,,,,,,,,
SH516360,516360,,,,,,,,,,,,,
SH516370,516370,,,,,,,,,,,,,
SH516380,516380,,,,,,,,,,,,,
SH516390,516390,,,,,,,,,,,,,
SH516440,516440,,,,,,,,,,,,,
